BIKE_SPEED,BIKE_COST,OCC_HOUR,OCC_DOW,OCC_DOY,OCC_DAY,OCC_YEAR,REPORT_DAY,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_COLOUR,PREMISES_TYPE,LOCATION_TYPE,HOOD_140,NEIGHBOURHOOD_140,OCC_HOUR_BIN,SEASON,COST_CATEGORY,x,y,IS_NIGHT,IS_WEEKEND
1.0,0.0,18,6,1,1,2014,1,1082,9115,7,11,3,35,79,95,0,3,3,0.9998518392091162,0.017213356155834685,0,0
21.0,1300.0,19,4,360,26,2013,1,357,4215,5,241,1,19,76,123,1,3,2,0.9962981749346077,-0.0859647987374467,0,0
10.0,0.0,7,6,1,1,2014,1,1025,10645,3,254,0,0,84,110,2,3,3,0.9998518392091162,0.017213356155834685,0,0
21.0,750.0,0,1,273,30,2013,2,749,2669,3,11,0,0,77,62,3,0,1,-0.012910296075008843,-0.9999166586547379,1,0
21.0,1500.0,16,6,359,25,2013,2,150,8507,3,255,0,0,74,23,0,3,2,0.9946708199115211,-0.10310169744743544,0,0
25.0,400.0,10,6,359,25,2013,2,99,10645,10,217,5,36,70,19,2,3,4,0.9946708199115211,-0.10310169744743544,0,0
24.0,500.0,17,1,364,30,2013,2,549,10961,4,255,5,36,38,9,0,3,4,0.9998518392091162,-0.01721335615583528,0,0
9.0,1019.0,12,6,1,1,2014,2,410,9862,4,37,0,0,76,123,2,3,2,0.9998518392091162,0.017213356155834685,0,0
18.0,1200.0,0,5,365,31,2013,3,776,10645,5,11,0,0,74,23,3,3,2,1.0,6.432490598706546e-16,1,0
10.0,600.0,0,1,182,1,2013,3,769,10636,7,193,1,19,104,68,3,2,1,-0.9999629591162655,0.008606996888688698,1,0
18.0,1500.0,0,5,365,31,2013,3,564,10645,5,11,0,0,74,23,3,3,2,1.0,6.432490598706546e-16,1,0
21.0,200.0,18,2,4,4,2014,4,672,10645,7,37,0,0,74,23,0,3,4,0.9976303053065857,0.06880242680231986,0,1
18.0,560.0,8,0,3,3,2014,4,776,5213,3,136,4,30,105,56,2,3,1,0.998666816288476,0.051619667223253764,0,0
23.0,1000.0,9,1,357,23,2013,5,300,3830,1,119,5,27,74,23,2,3,1,0.9905324521322227,-0.13727877211326517,0,0
21.0,900.0,20,2,4,4,2014,5,412,5489,3,128,3,35,55,70,1,3,1,0.9976303053065857,0.06880242680231986,1,1
0.0,1500.0,16,2,362,28,2013,6,402,10645,3,270,3,35,50,130,0,3,2,0.9986668162884759,-0.05161966722325418,0,1
0.0,0.0,21,3,5,5,2014,6,1117,239,8,217,3,35,31,39,1,3,4,0.9962981749346078,0.08596479873744647,1,1
3.0,1300.0,8,0,326,22,2013,7,412,7930,4,281,0,0,69,111,2,0,2,0.7829801036770624,-0.622046748440868,0,0
23.0,1800.0,23,3,5,5,2014,8,1149,8882,1,11,1,2,74,23,1,3,2,0.9962981749346078,0.08596479873744647,1,1
1.0,3300.0,20,0,361,27,2013,8,41,10827,1,217,5,27,76,123,1,3,0,0.9976303053065857,-0.06880242680232064,1,0
21.0,150.0,8,5,7,7,2014,8,412,11390,3,233,4,30,69,111,2,3,4,0.9927487224577402,0.1202080448993527,0,0
21.0,479.0,20,6,8,8,2014,8,776,6553,7,11,0,0,72,79,1,3,4,0.9905324521322229,0.13727877211326478,1,0
0.0,800.0,9,0,10,10,2014,10,324,10576,8,11,5,36,77,62,2,3,1,0.9852201067560606,0.1712931441814776,0,0
24.0,400.0,6,0,10,10,2014,10,1025,10645,4,136,5,36,76,123,3,3,4,0.9852201067560606,0.1712931441814776,0,0
9.0,200.0,7,2,11,11,2014,11,732,4917,4,11,3,35,94,3,2,3,4,0.9821256058680006,0.1882267098432442,0,1
5.0,200.0,7,2,11,11,2014,11,176,9314,4,37,3,35,94,3,2,3,4,0.9821256058680006,0.1882267098432442,0,1
7.0,700.0,9,4,157,6,2013,11,1105,7419,7,11,1,19,76,123,2,2,1,-0.9051931898913974,0.42500033996955416,0,0
18.0,900.0,23,2,11,11,2014,13,267,6749,3,50,0,0,56,17,1,3,1,0.9821256058680006,0.1882267098432442,1,1
10.0,1100.0,6,1,13,13,2014,13,549,4436,5,254,4,30,83,71,3,3,2,0.9750645322571948,0.2219215130041655,0,0
20.0,2399.0,17,6,8,8,2014,13,150,9082,5,255,0,0,50,130,0,3,0,0.9905324521322229,0.13727877211326478,0,0
3.0,600.0,8,5,14,14,2014,14,776,10645,7,37,2,33,17,85,2,3,1,0.9711000518829505,0.2386727660059501,0,0
10.0,2000.0,10,5,14,14,2014,14,1105,10645,7,181,1,19,75,6,2,3,2,0.9711000518829505,0.2386727660059501,0,0
1.0,750.0,21,6,15,15,2014,15,421,10645,1,217,5,36,72,79,1,3,1,0.9668478136052775,0.255353295116187,1,0
21.0,300.0,10,3,12,12,2014,16,915,10645,3,86,0,0,76,123,2,3,4,0.9787400799669153,0.2051044998686192,0,1
16.0,120.0,4,2,18,18,2014,18,741,10645,7,37,3,35,83,71,3,3,4,0.9523775757303974,0.30492122465628907,1,1
